City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
qaqortoq,57.0,GL,1574562429,49,60.72,-46.03,23,3.36
sao joao da barra,100.0,BR,1574562429,87,-21.64,-41.05,73.9,18.14
kapaa,90.0,US,1574562163,74,22.08,-159.32,84.2,16.11
cherskiy,18.0,RU,1574562429,92,68.75,161.3,-28.32,3.6
albany,75.0,US,1574562429,55,42.65,-73.75,36,3.36
rikitea,80.0,PF,1574562429,65,-23.12,-134.97,71.91,7.54
chumikan,99.0,RU,1574562429,62,54.72,135.31,1.54,25.86
busselton,100.0,AU,1574562429,32,-33.64,115.35,77,9.15
mar del plata,100.0,AR,1574562430,56,-46.43,-67.52,65.37,6.31
punta arenas,75.0,CL,1574562430,81,-53.16,-70.91,50,10.29
wasserburg,17.0,AT,1574562430,81,48.25,15.7,45,12.75
cape town,40.0,ZA,1574562254,93,-33.93,18.42,60.01,1.12
castro,90.0,CL,1574562430,93,-42.48,-73.76,51.8,10.29
lebu,100.0,ET,1574562430,94,8.96,38.73,54.48,1.36
manta,94.0,RO,1574562430,89,45.1,24.1,38.88,2.62
port alfred,100.0,ZA,1574562431,84,-33.59,26.89,64,8.3
katobu,0.0,ID,1574562431,32,-4.94,122.53,96.03,4.99
lavrentiya,23.0,RU,1574562431,79,65.58,-170.99,10.11,17.47
quatre cocos,75.0,MU,1574562431,88,-20.21,57.76,78.01,7.96
sept-iles,20.0,CA,1574562349,92,50.2,-66.38,21.2,2.24
butterworth,20.0,MY,1574562431,74,5.4,100.37,84.2,4.7
carnarvon,0.0,ZA,1574562431,77,-30.97,22.13,51.93,7.23
puerto ayora,32.0,EC,1574562431,83,-0.74,-90.35,69.01,4
longyearbyen,90.0,NO,1574562432,85,78.22,15.63,19.4,11.41
iqaluit,90.0,CA,1574562432,73,63.75,-68.52,26.6,9.17
woodstock,90.0,CA,1574562201,83,43.13,-80.75,36,4.7
atuona,1.0,PF,1574562432,78,-9.8,-139.03,79.36,17.29
kaitangata,10.0,NZ,1574562432,65,-46.28,169.85,55.09,32.35
beringovskiy,0.0,RU,1574562432,86,63.05,179.32,6.53,13.38
barrow,0.0,AR,1574562433,63,-38.31,-60.23,52.25,15.01
hermanus,0.0,ZA,1574562433,88,-34.42,19.24,57.99,1.01
torbay,5.0,CA,1574562433,79,47.66,-52.73,36,13.87
dingle,17.0,PH,1574562433,80,11,122.67,83.53,11.43
butaritari,100.0,KI,1574562433,61,3.07,172.79,83.8,3.38
isangel,75.0,VU,1574562433,61,-19.55,169.27,80.6,16.11
saint george,75.0,GR,1574562433,93,39.45,22.34,53.6,4.7
bandarbeyla,43.0,SO,1574562433,78,9.49,50.81,81.36,19.17
hilo,90.0,US,1574562434,88,19.71,-155.08,73.4,4.7
komsomolskiy,0.0,RU,1574562434,91,67.55,63.78,3.67,5.39
thompson,90.0,CA,1574562434,92,55.74,-97.86,21.2,6.93
dali,100.0,CN,1574562434,27,34.79,109.94,45.01,8.63
sabha,0.0,LY,1574562434,20,27.03,14.43,63.1,5.23
huicungo,100.0,PE,1574562434,99,-7.28,-76.8,64.13,1.52
lumeje,98.0,AO,1574562434,93,-11.56,20.78,65.5,4.41
diu,0.0,IN,1574562434,63,20.71,70.98,80.19,16.26
vaini,0.0,IN,1574562435,82,15.34,74.49,64.4,3.36
jamestown,0.0,AU,1574562435,12,-33.21,138.6,82.76,9.98
mehamn,100.0,NO,1574562435,88,71.03,27.85,36.09,14.79
havoysund,98.0,NO,1574562436,86,71,24.66,37.4,17.22
yellowknife,90.0,CA,1574562362,92,62.45,-114.38,19.4,9.17
altamont,90.0,CA,1574562436,79,49.4,-98.5,41,18.34
bredasdorp,23.0,ZA,1574562436,77,-34.53,20.04,59,8.05
vilyuysk,100.0,RU,1574562436,93,63.75,121.63,-9.53,8.72
faya,0.0,SA,1574562436,93,18.39,42.45,57.2,3.27
ulladulla,90.0,AU,1574562436,56,-35.36,150.48,69.8,8.05
kavaratti,0.0,IN,1574562437,73,10.57,72.64,83.61,7.81
shuyskoye,100.0,RU,1574562437,52,59.37,41.03,19.83,4.5
mataura,90.0,NZ,1574562437,55,-46.19,168.86,60.01,21.99
bethel,90.0,US,1574562643,92,60.79,-161.76,24.8,3.36
sunndalsora,91.0,NO,1574562643,95,62.68,8.55,39.2,17.22
veraval,90.0,FR,1574562643,100,49.65,0.71,48.99,4.7
new norfolk,75.0,AU,1574562643,34,-42.78,147.06,70,16.11
laguna,2.0,BZ,1574562643,94,16.17,-88.94,75.2,1.34
abu samrah,100.0,SY,1574562643,42,35.3,37.18,51.21,7.67
nacala,100.0,MZ,1574562644,95,-14.56,40.69,75.27,2.82
aykhal,95.0,RU,1574562644,73,65.95,111.51,-29.2,2.24
